,Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
424,Female,227.5,-2.3534448,21.53171,0.14850235,17.372026,17.752855,18.398409,19.679749,21.53171,24.137247,26.066166,27.713724,30.968494,33.939842
425,Female,228.5,-2.3556778,21.550821,0.14872354,17.383846,17.76515,18.411587,19.695004,21.550821,24.163776,26.099936,27.75502,31.028801,34.023003
426,Female,229.5,-2.357456,21.569208,0.1489659,17.394508,17.776323,18.423708,19.709335,21.569208,24.18988,26.133512,27.796331,31.089563,34.10707
427,Female,230.5,-2.3587637,21.586864,0.14923014,17.403988,17.786352,18.43475,19.722725,21.586864,24.215567,26.166916,27.837685,31.15082,34.1921
428,Female,231.5,-2.3595853,21.603783,0.149517,17.41226,17.795214,18.444695,19.735159,21.603783,24.240843,26.200161,27.879103,31.212608,34.278137
429,Female,232.5,-2.3599057,21.619959,0.1498272,17.4193,17.802883,18.45352,19.746624,21.619959,24.265713,26.233263,27.920609,31.274963,34.365223
430,Female,233.5,-2.3597102,21.635387,0.15016149,17.425085,17.80934,18.461206,19.757103,21.635387,24.290188,26.26624,27.962227,31.337927,34.453407
431,Female,234.5,-2.3589804,21.65006,0.15052073,17.429585,17.814558,18.467731,19.766582,21.65006,24.314276,26.29911,28.003986,31.401537,34.542732
432,Female,235.5,-2.3577144,21.663973,0.15090545,17.432781,17.818518,18.473078,19.775047,21.663973,24.337975,26.331884,28.045906,31.465832,34.63326
433,Female,236.5,-2.3558924,21.677118,0.15131652,17.434645,17.821192,18.47722,19.782482,21.677118,24.3613,26.364586,28.088013,31.530851,34.72503
434,Female,237.5,-2.3535013,21.68949,0.15175481,17.435152,17.822557,18.480143,19.788872,21.68949,24.384258,26.39723,28.130337,31.59664,34.818096
435,Female,238.5,-2.3505287,21.701082,0.15222108,17.434275,17.82259,18.48182,19.794203,21.701082,24.406857,26.429838,28.172905,31.663237,34.912502
436,Female,239.5,-2.3469622,21.711893,0.1527162,17.431988,17.821266,18.48223,19.798456,21.711893,24.429104,26.46243,28.215744,31.730686,35.008305
437,Female,240.0,-2.3449585,21.717,0.15297472,17.430311,17.820091,18.481956,19.800177,21.717,24.440096,26.47872,28.237272,31.764744,35.05675
438,Female,240.5,-2.342797,21.72191,0.15324087,17.428268,17.818563,18.481356,19.80162,21.72191,24.451006,26.495016,28.25888,31.79903,35.105556
